date,adjclose
2015-04-06,326.1600036621094
2015-04-07,322.8999938964844
2015-04-08,326.7699890136719
2015-04-09,329.2300109863281
2015-04-10,331.1499938964844
2015-04-13,327.6000061035156
2015-04-14,324.5
2015-04-15,327.0899963378906
2015-04-16,325.739990234375
2015-04-17,320.5400085449219
2015-04-20,323.19000244140625
2015-04-21,323.4800109863281
2015-04-22,324.1400146484375
2015-04-23,324.3599853515625
2015-04-24,322.05999755859375
2015-04-27,320.0199890136719
2015-04-28,322.42999267578125
2015-04-29,320.55999755859375
2015-04-30,317.010009765625
2015-05-01,320.5
2015-05-04,324.0400085449219
2015-05-05,321.2300109863281
2015-05-06,323.3900146484375
2015-05-07,321.8900146484375
2015-05-08,326.2900085449219
2015-05-11,325.0199890136719
2015-05-12,321.6099853515625
2015-05-13,323.4200134277344
2015-05-14,325.6000061035156
2015-05-15,325.6199951171875
2015-05-18,327.54998779296875
2015-05-19,329.5899963378906
2015-05-20,331.29998779296875
2015-05-21,330.8399963378906
2015-05-22,330.5899963378906
2015-05-26,325.2799987792969
2015-05-27,330.0199890136719
2015-05-28,328.17999267578125
2015-05-29,324.67999267578125
2015-06-01,325.6099853515625
2015-06-02,329.2099914550781
2015-06-03,336.1300048828125
2015-06-04,329.8900146484375
2015-06-05,329.6600036621094
2015-06-08,328.32000732421875
2015-06-09,332.6600036621094
2015-06-10,336.8900146484375
2015-06-11,340.0899963378906
2015-06-12,337.5400085449219
2015-06-15,336.6099853515625
2015-06-16,339.4100036621094
2015-06-17,343.1400146484375
2015-06-18,342.0400085449219
2015-06-19,338.0
2015-06-22,343.2900085449219
2015-06-23,343.44000244140625
2015-06-24,342.45001220703125
2015-06-25,342.4800109863281
2015-06-26,343.1199951171875
2015-06-29,339.0
2015-06-30,341.4599914550781
2015-07-01,344.9599914550781
2015-07-02,346.4599914550781
2015-07-06,346.1300048828125
2015-07-07,345.2799987792969
2015-07-08,329.010009765625
2015-07-09,329.1000061035156
2015-07-10,334.6400146484375
2015-07-13,339.7900085449219
2015-07-14,341.8800048828125
2015-07-15,340.8699951171875
2015-07-16,345.6700134277344
2015-07-17,345.010009765625
2015-07-20,346.9200134277344
2015-07-21,341.0
2015-07-22,340.3500061035156
2015-07-23,337.5199890136719
2015-07-24,335.7300109863281
2015-07-27,329.57000732421875
2015-07-28,334.989990234375
2015-07-29,337.75
2015-07-30,340.3800048828125
2015-07-31,337.6000061035156
2015-08-03,332.989990234375
2015-08-04,330.0
2015-08-05,332.9599914550781
2015-08-06,327.1000061035156
2015-08-07,329.3299865722656
2015-08-10,334.1199951171875
2015-08-11,327.5
2015-08-12,319.4100036621094
2015-08-13,321.6099853515625
2015-08-14,322.0299987792969
2015-08-17,326.6000061035156
2015-08-18,325.1099853515625
2015-08-19,320.9200134277344
2015-08-20,311.2900085449219
2015-08-21,304.760009765625
2015-08-24,291.0799865722656
2015-08-25,287.6700134277344
2015-08-26,298.95001220703125
2015-08-27,305.69000244140625
2015-08-28,300.20001220703125
2015-08-31,296.54998779296875
2015-09-01,286.7900085449219
2015-09-02,297.17999267578125
2015-09-03,296.2699890136719
2015-09-04,288.989990234375
2015-09-08,298.25
2015-09-09,298.0899963378906
2015-09-10,290.9599914550781
2015-09-11,299.7699890136719
2015-09-14,294.5
2015-09-15,296.3999938964844
2015-09-16,299.8599853515625
2015-09-17,303.1400146484375
2015-09-18,293.45001220703125
2015-09-21,292.3299865722656
2015-09-22,285.57000732421875
2015-09-23,281.7300109863281
2015-09-24,279.17999267578125
2015-09-25,281.0899963378906
2015-09-28,277.6199951171875
2015-09-29,282.42999267578125
2015-09-30,284.739990234375
2015-10-01,284.19000244140625
2015-10-02,290.2099914550781
2015-10-05,289.7799987792969
2015-10-06,284.4599914550781
2015-10-07,287.6000061035156
2015-10-08,292.1700134277344
2015-10-09,293.7099914550781
2015-10-12,295.5199890136719
2015-10-13,291.19000244140625
2015-10-14,283.2699890136719
2015-10-15,288.010009765625
2015-10-16,291.3299865722656
2015-10-19,291.3999938964844
2015-10-20,294.42999267578125
2015-10-21,293.1300048828125
2015-10-22,300.44000244140625
2015-10-23,304.2699890136719
2015-10-26,300.67999267578125
2015-10-27,300.57000732421875
2015-10-28,307.3699951171875
2015-10-29,309.42999267578125
2015-10-30,310.989990234375
2015-11-02,313.0799865722656
2015-11-03,314.25
2015-11-04,312.8800048828125
2015-11-05,312.3599853515625
2015-11-06,327.6600036621094
2015-11-09,328.0899963378906
2015-11-10,331.70001220703125
2015-11-11,332.8299865722656
2015-11-12,325.1099853515625
2015-11-13,328.19000244140625
2015-11-16,333.04998779296875
2015-11-17,336.32000732421875
2015-11-18,341.1400146484375
2015-11-19,340.0
2015-11-20,343.57000732421875
2015-11-23,340.57000732421875
2015-11-24,340.1499938964844
2015-11-25,340.0
2015-11-27,344.7699890136719
2015-11-30,342.7799987792969
2015-12-01,342.1700134277344
2015-12-02,336.1199951171875
2015-12-03,332.1700134277344
2015-12-04,338.7200012207031
2015-12-07,338.6600036621094
2015-12-08,334.3599853515625
2015-12-09,331.5299987792969
2015-12-10,333.6300048828125
2015-12-11,330.3800048828125
2015-12-14,334.45001220703125
2015-12-15,336.17999267578125
2015-12-16,340.70001220703125
2015-12-17,332.05999755859375
2015-12-18,331.05999755859375
2015-12-21,332.7300109863281
2015-12-22,337.1099853515625
2015-12-23,340.0199890136719
2015-12-24,341.8599853515625
2015-12-28,343.4599914550781
2015-12-29,345.75
2015-12-30,344.1400146484375
2015-12-31,339.1300048828125
2016-01-04,329.3399963378906
2016-01-05,331.3800048828125
2016-01-06,324.739990234375
2016-01-07,315.7300109863281
2016-01-08,313.92999267578125
2016-01-11,310.8599853515625
2016-01-12,317.0199890136719
2016-01-13,311.5799865722656
2016-01-14,310.6600036621094
2016-01-15,313.6199951171875
2016-01-19,308.42999267578125
2016-01-20,307.45001220703125
2016-01-21,307.0799865722656
2016-01-22,316.25
2016-01-25,316.0199890136719
2016-01-26,315.2300109863281
2016-01-27,312.8500061035156
2016-01-28,307.3999938964844
2016-01-29,312.8500061035156
2016-02-01,317.32000732421875
2016-02-02,311.7200012207031
2016-02-03,309.260009765625
2016-02-04,313.9800109863281
2016-02-05,311.67999267578125
2016-02-08,298.1400146484375
2016-02-09,307.0
2016-02-10,307.55999755859375
2016-02-11,299.30999755859375
2016-02-12,307.07000732421875
2016-02-16,312.69000244140625
2016-02-17,321.42999267578125
2016-02-18,316.79998779296875
2016-02-19,322.1400146484375
2016-02-22,324.0799865722656
2016-02-23,316.3399963378906
2016-02-24,315.25
2016-02-25,318.0299987792969
2016-02-26,316.75
2016-02-29,314.9100036621094
2016-03-01,329.4100036621094
2016-03-02,330.0
2016-03-03,332.45001220703125
2016-03-04,334.4800109863281
2016-03-07,335.95001220703125
2016-03-08,334.5299987792969
2016-03-09,329.8699951171875
2016-03-10,329.2900085449219
